"chart_id","chart_name","diet_type","health_condition","goal","general_guidance","foods_to_avoid_or_limit","red_flags_and_exclusions","required_approver","source_ids","status"
"DC011","Gout / hyperuricemia — Veg — Condition support","Veg","Gout / hyperuricemia","Condition support","Water and fluids only to the clinician-approved amount; low-fat dairy and plant-forward meals can be used when otherwise suitable. Flares, serum urate, medicines, kidney function and weight trajectory.","Red meat, selected seafood, high-fructose drinks and alcohol; portion/frequency individualized. Organ meats and binge alcohol; diet is not a replacement for urate-lowering treatment when indicated. Do not apply broad bans to nutritious vegetables solely because they contain purines.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Fluid restriction, kidney failure or heart failure | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S007","Draft—consultant approval required"
"DC012","Gout / hyperuricemia — Veg — Weight loss","Veg","Gout / hyperuricemia","Weight loss","Water and fluids only to the clinician-approved amount; low-fat dairy and plant-forward meals can be used when otherwise suitable. Flares, serum urate, medicines, kidney function and weight trajectory.","Red meat, selected seafood, high-fructose drinks and alcohol; portion/frequency individualized. Organ meats and binge alcohol; diet is not a replacement for urate-lowering treatment when indicated. Do not apply broad bans to nutritious vegetables solely because they contain purines.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Fluid restriction, kidney failure or heart failure | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S007","Draft—consultant approval required"
"DC013","Gout / hyperuricemia — Non-Veg — Condition support","Non-Veg","Gout / hyperuricemia","Condition support","Water and fluids only to the clinician-approved amount; low-fat dairy and plant-forward meals can be used when otherwise suitable. Flares, serum urate, medicines, kidney function and weight trajectory.","Red meat, selected seafood, high-fructose drinks and alcohol; portion/frequency individualized. Organ meats and binge alcohol; diet is not a replacement for urate-lowering treatment when indicated. Do not apply broad bans to nutritious vegetables solely because they contain purines.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Fluid restriction, kidney failure or heart failure | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S007","Draft—consultant approval required"
"DC014","Gout / hyperuricemia — Non-Veg — Weight loss","Non-Veg","Gout / hyperuricemia","Weight loss","Water and fluids only to the clinician-approved amount; low-fat dairy and plant-forward meals can be used when otherwise suitable. Flares, serum urate, medicines, kidney function and weight trajectory.","Red meat, selected seafood, high-fructose drinks and alcohol; portion/frequency individualized. Organ meats and binge alcohol; diet is not a replacement for urate-lowering treatment when indicated. Do not apply broad bans to nutritious vegetables solely because they contain purines.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Fluid restriction, kidney failure or heart failure | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S007","Draft—consultant approval required"
"DC015","CKD—stable, earlier stages — Veg — Condition support","Veg","CKD—stable, earlier stages","Condition support","Protein, sodium, potassium, phosphorus and fluid must be set from CKD stage, labs, treatment and nutrition status. KDIGO suggests about 0.8 g/kg/day protein for adults with CKD G3–G5; application requires renal review. eGFR, ACR, potassium, phosphorus, bicarbonate, edema, weight and muscle status.","Processed foods with sodium and phosphate additives; limits depend on current labs. Avoid high-protein plans and potassium salt substitutes unless the renal team approves.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Missing current eGFR, potassium or kidney diagnosis/stage | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Renal dietitian/nephrologist","S005;S006","Draft—consultant approval required"
"DC016","CKD—stable, earlier stages — Non-Veg — Condition support","Non-Veg","CKD—stable, earlier stages","Condition support","Protein, sodium, potassium, phosphorus and fluid must be set from CKD stage, labs, treatment and nutrition status. KDIGO suggests about 0.8 g/kg/day protein for adults with CKD G3–G5; application requires renal review. eGFR, ACR, potassium, phosphorus, bicarbonate, edema, weight and muscle status.","Processed foods with sodium and phosphate additives; limits depend on current labs. Avoid high-protein plans and potassium salt substitutes unless the renal team approves.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Missing current eGFR, potassium or kidney diagnosis/stage | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Renal dietitian/nephrologist","S005;S006","Draft—consultant approval required"
"DC017","Fatty liver / MASLD — Veg — Condition support","Veg","Fatty liver / MASLD","Condition support","Mediterranean-style whole foods: vegetables, fruit, whole grains, pulses, nuts, fish/lean protein as appropriate. If excess weight is present, use gradual clinician-supervised weight reduction; do not set a target from diagnosis alone. Weight/waist, glucose, lipids, liver tests and fibrosis risk per clinician.","Added sugar, sugar-sweetened drinks, refined foods and excess saturated fat. Avoid alcohol unless the liver clinician explicitly advises otherwise.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S008","Draft—consultant approval required"
"DC018","Fatty liver / MASLD — Veg — Weight loss","Veg","Fatty liver / MASLD","Weight loss","Mediterranean-style whole foods: vegetables, fruit, whole grains, pulses, nuts, fish/lean protein as appropriate. If excess weight is present, use gradual clinician-supervised weight reduction; do not set a target from diagnosis alone. Weight/waist, glucose, lipids, liver tests and fibrosis risk per clinician.","Added sugar, sugar-sweetened drinks, refined foods and excess saturated fat. Avoid alcohol unless the liver clinician explicitly advises otherwise.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S008","Draft—consultant approval required"
"DC019","Fatty liver / MASLD — Non-Veg — Condition support","Non-Veg","Fatty liver / MASLD","Condition support","Mediterranean-style whole foods: vegetables, fruit, whole grains, pulses, nuts, fish/lean protein as appropriate. If excess weight is present, use gradual clinician-supervised weight reduction; do not set a target from diagnosis alone. Weight/waist, glucose, lipids, liver tests and fibrosis risk per clinician.","Added sugar, sugar-sweetened drinks, refined foods and excess saturated fat. Avoid alcohol unless the liver clinician explicitly advises otherwise.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S008","Draft—consultant approval required"
"DC020","Fatty liver / MASLD — Non-Veg — Weight loss","Non-Veg","Fatty liver / MASLD","Weight loss","Mediterranean-style whole foods: vegetables, fruit, whole grains, pulses, nuts, fish/lean protein as appropriate. If excess weight is present, use gradual clinician-supervised weight reduction; do not set a target from diagnosis alone. Weight/waist, glucose, lipids, liver tests and fibrosis risk per clinician.","Added sugar, sugar-sweetened drinks, refined foods and excess saturated fat. Avoid alcohol unless the liver clinician explicitly advises otherwise.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S008","Draft—consultant approval required"
"DC021","Arthritis / joint health — Veg — Condition support","Veg","Arthritis / joint health","Condition support","Mediterranean-style whole-food pattern; plant foods, nuts/seeds and suitable lean proteins. For non-vegetarians, oily fish may be used if compatible with pregnancy, gout and kidney status. Weight, function, pain pattern, medicines and GI/kidney risks.","Ultra-processed foods, trans fat, excess saturated fat and added sugars. No food or elimination diet should be presented as curing arthritis.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/medical team","S014","Draft—consultant approval required"
"DC022","Arthritis / joint health — Veg — Weight loss","Veg","Arthritis / joint health","Weight loss","Mediterranean-style whole-food pattern; plant foods, nuts/seeds and suitable lean proteins. For non-vegetarians, oily fish may be used if compatible with pregnancy, gout and kidney status. Weight, function, pain pattern, medicines and GI/kidney risks.","Ultra-processed foods, trans fat, excess saturated fat and added sugars. No food or elimination diet should be presented as curing arthritis.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/medical team","S014","Draft—consultant approval required"
"DC023","Arthritis / joint health — Non-Veg — Condition support","Non-Veg","Arthritis / joint health","Condition support","Mediterranean-style whole-food pattern; plant foods, nuts/seeds and suitable lean proteins. For non-vegetarians, oily fish may be used if compatible with pregnancy, gout and kidney status. Weight, function, pain pattern, medicines and GI/kidney risks.","Ultra-processed foods, trans fat, excess saturated fat and added sugars. No food or elimination diet should be presented as curing arthritis.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/medical team","S014","Draft—consultant approval required"
"DC024","Arthritis / joint health — Non-Veg — Weight loss","Non-Veg","Arthritis / joint health","Weight loss","Mediterranean-style whole-food pattern; plant foods, nuts/seeds and suitable lean proteins. For non-vegetarians, oily fish may be used if compatible with pregnancy, gout and kidney status. Weight, function, pain pattern, medicines and GI/kidney risks.","Ultra-processed foods, trans fat, excess saturated fat and added sugars. No food or elimination diet should be presented as curing arthritis.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/medical team","S014","Draft—consultant approval required"
"DC025","Bone health / osteoporosis risk — Veg — Condition support","Veg","Bone health / osteoporosis risk","Condition support","Food sources of calcium, adequate protein and vitamin-D-containing/fortified foods. Set calcium and vitamin D targets by age, pregnancy status, labs and clinician advice. Fractures, bone density, calcium, vitamin D, kidney function and relevant medicines.","Do not automatically prescribe high-dose calcium or vitamin D supplements. CKD mineral-bone disorder requires renal specialist management.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | CKD mineral-bone disorder, hypercalcemia or recurrent kidney stones | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S012;S013","Draft—consultant approval required"
"DC026","Bone health / osteoporosis risk — Non-Veg — Condition support","Non-Veg","Bone health / osteoporosis risk","Condition support","Food sources of calcium, adequate protein and vitamin-D-containing/fortified foods. Set calcium and vitamin D targets by age, pregnancy status, labs and clinician advice. Fractures, bone density, calcium, vitamin D, kidney function and relevant medicines.","Do not automatically prescribe high-dose calcium or vitamin D supplements. CKD mineral-bone disorder requires renal specialist management.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | CKD mineral-bone disorder, hypercalcemia or recurrent kidney stones | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/physician","S012;S013","Draft—consultant approval required"
"DC027","Pregnancy — Veg — Pregnancy nutrition","Veg","Pregnancy","Pregnancy nutrition","Varied foods from grains, vegetables, fruit, protein foods and pasteurized dairy/alternatives; prescribed prenatal supplements. Energy and weight-gain goals depend on trimester and prepregnancy BMI; ICMR-NIN provides Indian pregnancy guidance. Weight trajectory, BP, glucose, hemoglobin, nausea/vomiting and fetal/obstetric status.","Alcohol, raw/undercooked animal foods, unpasteurized foods and high-mercury fish. Vegetarian/vegan plans require review of iron, B12, protein, iodine, calcium and vitamin D.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Any pregnancy | Severe vomiting, bleeding, severe headache/vision symptoms, marked swelling, high BP or reduced fetal movement | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Obstetric clinician and dietitian","S001;S009","Draft—consultant approval required"
"DC028","Pregnancy — Non-Veg — Pregnancy nutrition","Non-Veg","Pregnancy","Pregnancy nutrition","Varied foods from grains, vegetables, fruit, protein foods and pasteurized dairy/alternatives; prescribed prenatal supplements. Energy and weight-gain goals depend on trimester and prepregnancy BMI; ICMR-NIN provides Indian pregnancy guidance. Weight trajectory, BP, glucose, hemoglobin, nausea/vomiting and fetal/obstetric status.","Alcohol, raw/undercooked animal foods, unpasteurized foods and high-mercury fish. Vegetarian/vegan plans require review of iron, B12, protein, iodine, calcium and vitamin D.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Any pregnancy | Severe vomiting, bleeding, severe headache/vision symptoms, marked swelling, high BP or reduced fetal movement | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Obstetric clinician and dietitian","S001;S009","Draft—consultant approval required"
"DC029","Postpartum—breastfeeding — Veg — Postpartum recovery and lactation","Veg","Postpartum—breastfeeding","Postpartum recovery and lactation","Regular balanced meals, protein foods, fruit/vegetables and fluids guided by thirst and clinical needs. CDC notes many well-nourished breastfeeding mothers need roughly 330–400 extra kcal/day; individualize. Recovery, bleeding/anemia, milk supply, infant growth, hydration, mood and weight trend.","Avoid aggressive calorie restriction, especially with low supply, early recovery or undernutrition. Vegetarian/vegan lactation needs B12 and other micronutrient review; supplements only clinician-approved.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Postpartum under 6 weeks | Heavy bleeding, fever, wound concerns, severe headache, chest pain, dyspnea or severe mood symptoms | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Obstetric/lactation team and dietitian","S001;S010","Draft—consultant approval required"
"DC030","Postpartum—breastfeeding — Non-Veg — Postpartum recovery and lactation","Non-Veg","Postpartum—breastfeeding","Postpartum recovery and lactation","Regular balanced meals, protein foods, fruit/vegetables and fluids guided by thirst and clinical needs. CDC notes many well-nourished breastfeeding mothers need roughly 330–400 extra kcal/day; individualize. Recovery, bleeding/anemia, milk supply, infant growth, hydration, mood and weight trend.","Avoid aggressive calorie restriction, especially with low supply, early recovery or undernutrition. Vegetarian/vegan lactation needs B12 and other micronutrient review; supplements only clinician-approved.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Postpartum under 6 weeks | Heavy bleeding, fever, wound concerns, severe headache, chest pain, dyspnea or severe mood symptoms | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Obstetric/lactation team and dietitian","S001;S010","Draft—consultant approval required"
"DC031","Postpartum—not breastfeeding — Veg — Postpartum recovery","Veg","Postpartum—not breastfeeding","Postpartum recovery","Recovery-focused balanced meals with protein, iron-rich foods, fiber and fluids as tolerated. Wound recovery, bleeding/anemia, bowel function, mood and weight trend. Begin gradual weight-management changes only after obstetric clearance.","Do not prioritize rapid weight loss in the early recovery period. Postpartum complications override generic templates.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Heavy bleeding, fever, wound concerns, severe headache, chest pain, dyspnea or severe mood symptoms | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Obstetric clinician/dietitian","S001","Draft—consultant approval required"
"DC032","Postpartum—not breastfeeding — Non-Veg — Postpartum recovery","Non-Veg","Postpartum—not breastfeeding","Postpartum recovery","Recovery-focused balanced meals with protein, iron-rich foods, fiber and fluids as tolerated. Wound recovery, bleeding/anemia, bowel function, mood and weight trend. Begin gradual weight-management changes only after obstetric clearance.","Do not prioritize rapid weight loss in the early recovery period. Postpartum complications override generic templates.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Heavy bleeding, fever, wound concerns, severe headache, chest pain, dyspnea or severe mood symptoms | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Obstetric clinician/dietitian","S001","Draft—consultant approval required"
"DC033","PCOS / PMOS — Veg — Condition support","Veg","PCOS / PMOS","Condition support","A sustainable healthy eating pattern matched to preferences, culture and metabolic goals. If weight loss is appropriate, set individualized goals without weight stigma and protect nutrition adequacy. Glucose, lipids, menstrual/reproductive goals, weight trajectory, sleep and mental health.","No single diet composition has proven superior for all PCOS/PMOS outcomes. Do not use pregnancy-unsafe or highly restrictive plans when pregnancy is possible or intended.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/gynecology or endocrinology team","S011","Draft—consultant approval required"
"DC034","PCOS / PMOS — Veg — Weight loss","Veg","PCOS / PMOS","Weight loss","A sustainable healthy eating pattern matched to preferences, culture and metabolic goals. If weight loss is appropriate, set individualized goals without weight stigma and protect nutrition adequacy. Glucose, lipids, menstrual/reproductive goals, weight trajectory, sleep and mental health.","No single diet composition has proven superior for all PCOS/PMOS outcomes. Do not use pregnancy-unsafe or highly restrictive plans when pregnancy is possible or intended.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/gynecology or endocrinology team","S011","Draft—consultant approval required"
"DC035","PCOS / PMOS — Non-Veg — Condition support","Non-Veg","PCOS / PMOS","Condition support","A sustainable healthy eating pattern matched to preferences, culture and metabolic goals. If weight loss is appropriate, set individualized goals without weight stigma and protect nutrition adequacy. Glucose, lipids, menstrual/reproductive goals, weight trajectory, sleep and mental health.","No single diet composition has proven superior for all PCOS/PMOS outcomes. Do not use pregnancy-unsafe or highly restrictive plans when pregnancy is possible or intended.","Age under 18 | Current/past eating disorder, severe restriction, purging or rapid unexplained weight change | Recent hospitalization, major surgery, active infection, cancer treatment or medically unstable state | Three or more active medical conditions or conflicting restrictions | Severe food allergy or anaphylaxis history","Dietitian/gynecology or endocrinology team","S011","Draft—consultant approval required"
