"meal_item_id","chart_id","chart_name","diet_type","health_condition","goal","day_number","meal_slot","time","dish_id","dish_or_item","quantity","serving_multiplier","calories_kcal","protein_g","carbohydrates_g","fat_g","fiber_g","food_link_status","notes","consultant_approval_required"
"MI000017","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Breakfast","8:00 AM","IND0065","Coconut Chutney","1 tablespoon","0.5","16","0.4","2","0.6","0.5","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000018","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Mid-Morning","11:00 AM","CLN0003","Guava Whole","1 small","1","68","2.6","14.3","1","5.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000019","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Lunch","1:30 PM","IND0224","Brown Rice Cooked","3/4 katori","0.75","244.5","5.5","40.3","4.8","2.5","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000020","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Lunch","1:30 PM","IND0135","Rajma Masala","1 katori","1","206","7.6","21.1","11.1","5.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000021","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Lunch","1:30 PM","IND0199","French Bean Sabzi","1 katori","0.8","160","4.4","17.1","7.1","4.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000022","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Evening","5:00 PM","IND0369","Roasted Chana","30 g","0.3","71.7","2.4","10.9","2.9","1.2","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000023","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Evening","5:00 PM","IND0432","Chaas","1 glass","1","179","7.3","13.2","8.8","0.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000024","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Dinner","8:00 PM","IND0010","Phulka","2 pieces","2","248","8.2","41.8","5","5.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000025","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Dinner","8:00 PM","IND0125","Palak Paneer","3/4 katori","0.75","169.5","6","16.3","8.4","5.2","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000026","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Dinner","8:00 PM","IND0203","Lauki Sabzi","1 katori","0.8","156.8","5","20.6","6.9","4.3","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000027","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","2","Bedtime","10:00 PM","IND0438","Turmeric Milk","1 small cup","0.7","147.7","5.8","9.9","6.9","0.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000028","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","3","Early Morning","6:30 AM","CLN0001","Plain Water","1 glass","1","0","0","0","0","0","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000029","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","3","Breakfast","8:00 AM","IND0332","Moong Dal Chilla","2 small","0.75","228.8","9.1","41.9","7.2","4.8","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000030","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","3","Breakfast","8:00 AM","IND0041","Plain Curd","1/2 katori","0.5","89.5","4","7.8","5.8","0.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000031","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","3","Mid-Morning","11:00 AM","CLN0002","Apple Whole","1 small","1","78","0.4","20.7","0.3","3.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000032","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","3","Lunch","1:30 PM","IND0013","Bajra Roti","2 small","2","218","7.4","44.2","5.4","8","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000033","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","3","Lunch","1:30 PM","IND0136","Chole Masala","3/4 katori","0.75","154.5","5","15.8","8.3","4.2","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000034","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","3","Lunch","1:30 PM","IND0200","Carrot Peas Sabzi","1 katori","0.8","144","5.4","19","7.5","4.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000035","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","3","Evening","5:00 PM","IND0370","Peanut Chaat","1/2 serving","0.5","126","3.6","18.2","5.8","1.9","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000036","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","3","Dinner","8:00 PM","IND0319","Dalia Upma","1 katori","0.8","236.8","9.7","39.9","7.3","6.1","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000037","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","3","Dinner","8:00 PM","IND0041","Plain Curd","1/2 katori","0.5","89.5","4","7.8","5.8","0.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000038","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","3","Bedtime","10:00 PM","CLN0001","Plain Water","as desired","1","0","0","0","0","0","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000039","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Early Morning","6:30 AM","CLN0001","Plain Water","1 glass","1","0","0","0","0","0","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000040","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Breakfast","8:00 AM","IND0312","Poha","1 katori","0.75","238.5","6.6","34","6.5","4.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000041","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Breakfast","8:00 AM","IND0369","Roasted Chana","2 tablespoons","0.2","47.8","1.6","7.3","1.9","0.8","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000042","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Mid-Morning","11:00 AM","CLN0004","Orange Whole","1 medium","1","62","1.2","15.4","0.2","3.1","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000043","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Lunch","1:30 PM","IND0223","Steamed White Rice","3/4 katori","0.75","252","5.6","40.7","5.4","2.2","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000044","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Lunch","1:30 PM","IND0088","Sambar","1 katori","0.75","174","9.5","22.9","2.8","6.2","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000045","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Lunch","1:30 PM","IND0184","Beans Poriyal","1 katori","0.8","145.6","4.6","17.3","6.8","5","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000046","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Lunch","1:30 PM","IND0041","Plain Curd","1/2 katori","0.5","89.5","4","7.8","5.8","0.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000047","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Evening","5:00 PM","IND0041","Plain Curd","1/2 katori","0.5","89.5","4","7.8","5.8","0.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000048","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Evening","5:00 PM","IND0369","Roasted Chana","20 g","0.2","47.8","1.6","7.3","1.9","0.8","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000049","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Dinner","8:00 PM","IND0010","Phulka","2 pieces","2","248","8.2","41.8","5","5.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000050","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Dinner","8:00 PM","IND0003","Masoor Dal","3/4 katori","0.75","145.5","10.6","25.6","3.2","7.7","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000051","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Dinner","8:00 PM","IND0203","Lauki Sabzi","1 katori","0.8","156.8","5","20.6","6.9","4.3","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000052","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","4","Bedtime","10:00 PM","IND0438","Turmeric Milk","1 small cup","0.7","147.7","5.8","9.9","6.9","0.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000053","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","5","Early Morning","6:30 AM","CLN0001","Plain Water","1 glass","1","0","0","0","0","0","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000054","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","5","Breakfast","8:00 AM","IND0319","Dalia Upma","1 katori","0.8","236.8","9.7","39.9","7.3","6.1","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000055","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","5","Breakfast","8:00 AM","IND0041","Plain Curd","1/2 katori","0.5","89.5","4","7.8","5.8","0.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000056","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","5","Mid-Morning","11:00 AM","CLN0005","Papaya Ripe","1 cup","1","64","0.7","16.2","0.4","2.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000057","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","5","Lunch","1:30 PM","IND0010","Phulka","2 pieces","2","248","8.2","41.8","5","5.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000058","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","5","Lunch","1:30 PM","IND0003","Masoor Dal","1 katori","1","194","14.1","34.1","4.2","10.3","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000059","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","5","Lunch","1:30 PM","IND0141","Bhindi Masala","1 katori","0.8","163.2","5.4","17","7.4","4.7","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000060","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","5","Evening","5:00 PM","IND0433","Masala Chaas","1 glass","1","175","9.2","14.9","10.6","0.7","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000061","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","5","Dinner","8:00 PM","IND0228","Vegetable Pulao","3/4 katori","0.75","217.5","5","38.6","4.1","2.3","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000062","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","5","Dinner","8:00 PM","IND0045","Raita Cucumber","1/2 katori","0.5","85.5","3.8","6.7","5.3","0.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000063","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","5","Bedtime","10:00 PM","CLN0001","Plain Water","as desired","1","0","0","0","0","0","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000064","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","6","Early Morning","6:30 AM","CLN0001","Plain Water","1 glass","1","0","0","0","0","0","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000065","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","6","Breakfast","8:00 AM","IND1331","Ragi Dosa","1 medium","0.6","217.8","9.2","31.7","6.8","3.7","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000066","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","6","Breakfast","8:00 AM","IND0088","Sambar","1 katori","0.75","174","9.5","22.9","2.8","6.2","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000067","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","6","Mid-Morning","11:00 AM","CLN0006","Pear Whole","1 small","1","86","0.6","22.8","0.2","4.7","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000068","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","6","Lunch","1:30 PM","IND0223","Steamed White Rice","3/4 katori","0.75","252","5.6","40.7","5.4","2.2","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000069","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","6","Lunch","1:30 PM","IND0006","Mixed Dal","3/4 katori","0.75","150","11.8","24.1","2.7","7.1","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000070","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","6","Lunch","1:30 PM","IND0183","Cabbage Poriyal","1 katori","0.8","141.6","5.2","21","8.3","5.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000071","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","6","Lunch","1:30 PM","IND0041","Plain Curd","1/2 katori","0.5","89.5","4","7.8","5.8","0.4","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000072","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","6","Evening","5:00 PM","IND1405","Corn Chaat","1/2 serving","0.5","131.5","3.1","17","6","1.9","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
"MI000073","DC001","Weight management — Veg — Weight loss","Veg","Weight management","Weight loss","6","Dinner","8:00 PM","IND0073","Tomato Shorba","1 bowl","1","184","7.3","21.9","5.3","5.6","linked_to_food_database","Consultant sets energy and portion level; no liquid calories; include protein and vegetables; cooking oil measured. Weight-loss portions require clinician-set energy target; do not apply during pregnancy, early postpartum or undernutrition.","Yes"
